1,0,30000,10269,corriente
1,1,104697,10831,ahorros
1,2,300000,10300,debito
14,3,40000,11367,corriente
14,4,200000,11118,debito
15,5,17000,10875,corriente
2,6,0,10377,corriente
2,7,24200,10816,ahorros
2,8,105000,11268,corriente
3,9,400000,11496,credito
16,10,144596,10740,corriente
16,11,400000,11075,credito
15,12,400000,10067,credito
3,13,126284,10326,corriente
14,14,131234,11793,corriente
14,15,131234,11793,corriente
14,16,131234,11793,corriente
17,17,131234,11793,corriente
17,18,51565,6865185,corriente
17,19,132089,11383,corriente
18,20,94855,10531,corriente
19,21,145827,10285,corriente
19,22,114248,10854,debito
20,23,81314,11102,corriente
